Call of Duty 2 (PC) ; 2,167 hr
Counter-Strike: Global Offensive (PC) ; 859 hr
Heroes of the Storm (PC) ; 477 hr
World of Warcraft (PC) ; 439 hr
Call of Duty: United Offensive (PC) ; 296 hr
Battlefield 2142 (PC) ; 229 hr
Overwatch (PC) ; 224 hr
Battlefield 4 (PC) ; 203 hr
Counter-Strike: Source (PC) ; 169 hr
Call of Duty 4: Modern Warfare (PC) ; 132 hr
Fallout: New Vegas (PC) ; 128 hr
Dragon Age: Origins (PC) ; 100 hr
Diablo III (PC) ; 78 hr
XCOM: Enemy Unknown (PC) ; 53 hr
Dying Light (PC) ; 50 hr
Pro Evolution Soccer 6 (PC) ; 44 hr
Star Wars: Knights of the Old Republic (PC) ; 44 hr
Battlefield 1 (PC) ; 40 hr
The Witcher 2 (PC) ; 38 hr
Saints Row: The Third (PC) ; 35 hr
Sacred (PC) ; 35 hr
Mass Effect (PC) ; 33 hr
Call of Duty: Black Ops (PC) ; 33 hr
NBA Live 08 (PC) ; 32 hr
Batman: Arkham City (PC) ; 32 hr
Grand Theft Auto: San Andreas (PC) ; 31 hr
Batman: Arkham Asylum GOTY (PC) ; 31 hr
Bioshock (PC) ; 31 hr
Mass Effect 3 (PC) ; 30 hr
Titan Quest: Immortal Throne (PC) ; 30 hr
Team Fortress 2 (PC) ; 29 hr
War Thunder (PC) ; 28 hr
Dead Space (PC) ; 27 hr
Far Cry 3 (PC) ; 25 hr
Doom 3 (PC) ; 24 hr
Half-Life 2 (PC) ; 24 hr
Battlefield 3 (PC) ; 23 hr
Guild Wars 2 (PC) ; 22 hr
Batman: Arkham Asylum (PC) ; 22 hr
Left 4 Dead (PC) ; 21 hr
Need for Speed World (PC) ; 21 hr
Dark Messiah of Might & Magic (PC) ; 21 hr
The Bureau: XCOM Declassified (PC) ; 21 hr
Garry's Mod (PC) ; 21 hr
Awesomenauts (PC) ; 20 hr
Call of Duty: Modern Warfare 3 (PC) ; 20 hr
BioShock Infinite (PC) ; 20 hr
ArmA III (PC) ; 20 hr
Castlevania: Lords of Shadow (PC) ; 19 hr
Max Payne 3 (PC) ; 19 hr
Carom 3D (PC) ; 18 hr
Just Cause 2 (PC) ; 18 hr
Fallout 3 (PC) ; 18 hr
Tom Clancy's Splinter Cell: Conviction (PC) ; 18 hr
Resident Evil 4 (PC) ; 17 hr
Pro Evolution Soccer 5 (PC) ; 17 hr
Alan Wake (PC) ; 17 hr
Left 4 Dead 2 (PC) ; 16 hr
The Lord of the Rings: The Battle for Middle-Earth (PC) ; 16 hr
Tom Clancy's Splinter Cell: Chaos Theory (PC) ; 16 hr
Company of Heroes (PC) ; 16 hr
Devil May Cry 4 (PC) ; 15 hr
Tomb Raider (PC) ; 14 hr
Grand Theft Auto V (PC) ; 14 hr
Wolfenstein: The New Order (PC) ; 14 hr
Metal Gear Solid 2: Substance (PC) ; 14 hr
Resident Evil 6 (PC) ; 14 hr
Max Payne 2: The Fall of Max Payne (PC) ; 14 hr
Dead Island: Riptide (PC) ; 13 hr
Prince of Persia: Warrior Within (PC) ; 13 hr
Mass Effect 2 (PC) ; 13 hr
Middle-Earth: Shadow of Mordor (PC) ; 13 hr
F.E.A.R.: First Encounter Assault Recon (PC) ; 12 hr
Gears of War (PC) ; 12 hr
Dead Space 3 (PC) ; 12 hr
The Lord of the Rings: Battle for Middle Earth II (PC) ; 12 hr
Star Wars Knights of the Old Republic 2: The Sith Lords (PC) ; 12 hr
Tom Clancy's Splinter Cell Double Agent (PC) ; 12 hr
Remember Me (PC) ; 12 hr
Assassin's Creed (PC) ; 12 hr
Rocket League (PC) ; 11 hr
Brothers In Arms: Earned in Blood (PC) ; 11 hr
Neverwinter Nights 2 (PC) ; 11 hr
The Matrix: Path of Neo (PC) ; 11 hr
Command & Conquer 3: Tiberium Wars (PC) ; 11 hr
Far Cry (PC) ; 11 hr
Shadow Warrior (PC) ; 11 hr
Grand Theft Auto III (PC) ; 11 hr
Indigo Prophecy (PC) ; 10 hr
Black & White 2 (PC) ; 10 hr
Tom Clancy's Splinter Cell (PC) ; 10 hr
Crysis 2 (PC) ; 10 hr
Trials Evolution: Gold Edition (PC) ; 10 hr
Dead Effect (PC) ; 10 hr
Half-Life (PC) ; 9 hr
Prince of Persia: The Two Thrones (PC) ; 9 hr
Soldat (PC) ; 9 hr
Crysis (PC) ; 9 hr
Virtua Tennis 3 (PC) ; 9 hr
Deus Ex: Invisible War (PC) ; 9 hr
Bastion (PC) ; 9 hr
Fallout 4 (PC) ; 9 hr
Dead Island (PC) ; 9 hr
Portal 2 (PC) ; 8 hr
Prince of Persia: The Forgotten Sands (PC) ; 8 hr
Singularity (PC) ; 8 hr
Harry Potter and the Order of the Phoenix (PC) ; 8 hr
Far Cry 2 (PC) ; 8 hr
Terraria (PC) ; 8 hr
FIFA World (PC) ; 8 hr
Alan Wake's American Nightmare (PC) ; 8 hr
Company of Heroes 2 (PC) ; 7 hr
Half-Life 2: Episode One (PC) ; 7 hr
Max Payne (PC) ; 7 hr
FIFA Soccer 07 (PC) ; 7 hr
F.E.A.R. 2: Project Origin (PC) ; 7 hr
Far Cry 3: Blood Dragon (PC) ; 7 hr
Titanfall (PC) ; 7 hr
Sacred 2 Gold (PC) ; 7 hr
F.3.A.R. (PC) ; 7 hr
Killing Floor (PC) ; 7 hr
Torchlight II (PC) ; 7 hr
Spore (PC) ; 6 hr
Tom Clancy\u2019s Splinter Cell: Blacklist (PC) ; 6 hr
Bioshock 2 (PC) ; 6 hr
Tom Clancy's Splinter Cell: Pandora Tomorrow (PC) ; 6 hr
TimeShift (PC) ; 6 hr
Mirror's Edge (PC) ; 6 hr
Hard Reset (PC) ; 6 hr
Insurgency: Modern Infantry Combat (PC) ; 6 hr
The Elder Scrolls V: Skyrim (PC) ; 5 hr
Portal (PC) ; 5 hr
Spec Ops: The Line (PC) ; 5 hr
Painkiller: Overdose (PC) ; 5 hr
Battlefield Heroes (PC) ; 5 hr
Star Wars: Republic Commando (PC) ; 5 hr
Champions Online (PC) ; 5 hr
Guild Wars (PC) ; 5 hr
Medal of Honor: Pacific Assault (PC) ; 5 hr
Dead Space 2 (PC) ; 5 hr
Star Wars Battlefront (PC) ; 5 hr
Rogue Legacy (PC) ; 4 hr
Kane & Lynch: Dead Men (PC) ; 4 hr
Rust (PC) ; 4 hr
Deadlight (PC) ; 4 hr
Assassin's Creed II (PC) ; 4 hr
Zombie Driver (PC) ; 4 hr
Dead Rising 2 (PC) ; 4 hr
Age of Empires II: The Age of Kings (PC) ; 4 hr
Crysis Warhead (PC) ; 4 hr
Dishonored (PC) ; 4 hr
Cubemen 2 (PC) ; 4 hr
Zombie Army Trilogy (PC) ; 4 hr
ARK: Survival Evolved (PC) ; 4 hr
BattleBlock Theater (PC) ; 3 hr
Red Orchestra 2: Heroes of Stalingrad Multiplayer (PC) ; 3 hr
Borderlands 2 (PC) ; 3 hr
Transistor (PC) ; 3 hr
Day of Defeat: Source (PC) ; 3 hr
Trials 2: Second Edition (PC) ; 3 hr
Perfect World (PC) ; 3 hr
Prince of Persia (PC) ; 3 hr
Superfrog HD (PC) ; 3 hr
Civilization V (PC) ; 3 hr
Tower Wars (PC) ; 3 hr
Pool Nation (PC) ; 3 hr
Surgeon Simulator 2013 (PC) ; 3 hr
Age of Empires III: The Asian Dynasties (PC) ; 3 hr
Super Meat Boy (PC) ; 3 hr
Torchlight (PC) ; 2 hr
Batman Arkham City GOTY (PC) ; 2 hr
Kingdom Rush (PC) ; 2 hr
Serious Sam HD: The Second Encounter (PC) ; 2 hr
The Basement Collection (PC) ; 2 hr
System Shock 2 (PC) ; 2 hr
Antichamber (PC) ; 2 hr
Serious Sam 3: BFE (PC) ; 2 hr
INSURGENCY (PC) ; 2 hr
LEGO Star Wars (PC) ; 2 hr
Battlefield 2 (PC) ; 2 hr
War Rock (PC) ; 2 hr
Overlord (PC) ; 2 hr
Trackmania Nations (PC) ; 2 hr
Pro Evolution Soccer 4 (PC) ; 2 hr
Metro: Last Light (PC) ; 2 hr
Wolfenstein: Enemy Territory (PC) ; 2 hr
Tom Clancy's Rainbow Six 3: Raven Shield (PC) ; 2 hr
Wizorb (PC) ; 2 hr
Space Pirates and Zombies (PC) ; 2 hr
Alpha Protocol (PC) ; 2 hr
The Witcher: Enhanced Edition (PC) ; 2 hr
Dungeon Defenders (PC) ; 2 hr
Knights of Pen & Paper +1 Edition (PC) ; 2 hr
PAYDAY 2 (PC) ; 2 hr
Bit.Trip Runner (PC) ; 2 hr
The Walking Dead (PC) ; 2 hr
Cities in Motion 2 (PC) ; 2 hr
The Stanley Parable (PC) ; 2 hr
Orcs Must Die! (PC) ; 2 hr
Closure (PC) ; 2 hr
Loadout (PC) ; 1 h
Mount Your Friends (PC) ; 1 h
Mark of the Ninja (PC) ; 1 h
Iron Man (PC) ; 1 h
The Walking Dead: Episode One (PC) ; 1 h
Motocross Madness 2 (PC) ; 1 h
Spider-Man 3 (PC) ; 1 h
Half-Life 2: Deathmatch (PC) ; 1 h
Poker Stars (PC) ; 1 h
Pro Evolution Soccer 2011 (PC) ; 1 h
Need For Speed Most Wanted (PC) ; 1 h
Supreme Commander (PC) ; 1 h
GUN (PC) ; 1 h
Wanted: Weapons of Fate (PC) ; 1 h
Empires: Dawn of the Modern World (PC) ; 1 h
Metro 2033 (PC) ; 1 h
SteamWorld Dig (PC) ; 59 min
MouseCraft (PC) ; 54 min
Brink (PC) ; 54 min
Castle Crashers (PC) ; 53 min
Primal Carnage (PC) ; 46 min
Commandos 2: Men of Courage (PC) ; 36 min
Zombie Panic! Source (PC) ; 36 min
Commandos: Behind Enemy Lines (PC) ; 30 min
Faster Than Light (PC) ; 27 min
Metal Gear Solid V: Ground Zeroes (PC) ; 24 min
Trackmania 2 Stadium (PC) ; 24 min
Alien Swarm (PC) ; 24 min
And Yet It Moves (PC) ; 18 min
Battlefield Hardline (PC) ; 15 min
Heroes & Generals (PC) ; 14 min
Hotline Miami (PC) ; 12 min
Crayon Physics Deluxe (PC) ; 12 min
Dino D-Day (PC) ; 8 min
Goat Simulator (PC) ; 7 min
State of Decay (PC) ; 6 min
Viscera Clean Up Detail: Shadow Warrior (PC) ; 6 min
Team Fortress Classic (PC) ; 6 min
BeatBuddy: Tale of the Guardians (PC) ; 5 min
Arma Tactics (PC) ; 4 min
DayZ (PC) ; 4 min
Anodyne (PC) ; 58 sec
Darksiders (PC) ; 0 sec
Fallout: New Vegas - Dead Money (PC) ; 0 sec
Postal 2 Complete (PC) ; 0 sec
Worms Crazy Golf (PC) ; 0 sec
Vessel (PC) ; 0 sec
Saints Row 2 (PC) ; 0 sec
Proteus (PC) ; 0 sec
Grand Theft Auto: Episodes From Liberty City (PC) ; 0 sec
Red Orchestra 2: Heroes of Stalingrad Single Player (PC) ; 0 sec
Company of Heroes: Tales of Valor (PC) ; 0 sec
Jagged Alliance: Crossfire (PC) ; 0 sec
Sam & Max: The Devil's Playhouse - The Tomb of Sammun-Mak (PC) ; 0 sec
ARMA II: DayZ (PC) ; 0 sec
Alien Breed 2: Assault (PC) ; 0 sec
Hector: Badge of Carnage - Episode 2 (PC) ; 0 sec
Back to the Future: The Game - Ep.4: Double Visions (PC) ; 0 sec
Worms Pinball (PC) ; 0 sec
Cave Story Plus (PC) ; 0 sec
Wallace and Gromit's Grand Adventures, Episode 2: The Last Resort  ; 0 sec
Counter-Strike: Source Beta (PC) ; 0 sec
Commandos: Beyond the Call of Duty (PC) ; 0 sec
Worms Blast (PC) ; 0 sec
Darkest Hour: Europe '44-'45 (PC) ; 0 sec
Red Orchestra: Ostfront 41-45 (PC) ; 0 sec
Serious Sam HD: The First Encounter (PC) ; 0 sec
Grand Theft Auto IV (PC) ; 0 sec
Half-Life: Blue Shift (PC) ; 0 sec
Shatter (PC) ; 0 sec
Deus Ex: Human Revolution - The Missing Link (PC) ; 0 sec
Wallace & Gromit's Grand Adventures, Episode 1: Fright of the Bumb ; 0 sec
Expeditions: Conquistador (PC) ; 0 sec
Cities XL Platinum (PC) ; 0 sec
Freedom Force (PC) ; 0 sec
F.E.A.R.: Extraction Point (PC) ; 0 sec
Half-Life 2: Lost Coast (PC) ; 0 sec
Magicka (PC) ; 0 sec
Serious Sam: The Random Encounter (PC) ; 0 sec
Serious Sam: The Second Encounter (PC) ; 0 sec
Sam & Max: The Devil's Playhouse - The City that Dares Not Sleep ( ; 0 sec
Capsized (PC) ; 0 sec
The Bard's Tale (PC) ; 0 sec
Cogs (PC) ; 0 sec
Serious Sam Double D (PC) ; 0 sec
Organ Trail: Director's Cut (PC) ; 0 sec
Sam & Max: The Devil's Playhouse - The Penal Zone (PC) ; 0 sec
Half-Life: Counter-Strike (PC) ; 0 sec
The Guild 2 (PC) ; 0 sec
Snapshot (PC) ; 0 sec
Titan Quest (PC) ; 0 sec
Star Wars Jedi Knight: Dark Forces 2 (PC) ; 0 sec
Shank (PC) ; 0 sec
Star Wars Jedi Knight II: Jedi Outcast (PC) ; 0 sec
UFO: Afterlight (PC) ; 0 sec
Grand Theft Auto: Vice City (Mac) ; 0 sec
Sam & Max: The Devil's Playhouse - Beyond the Alley of the Dolls ( ; 0 sec
Wallace & Gromit's Grand Adventures: Episode 4: The Bogey Man (PC) ; 0 sec
Divinity II: Developer's Cut (PC) ; 0 sec
Little Inferno (PC) ; 0 sec
Game of Thrones (PC) ; 0 sec
Freedom Force vs. The Third Reich (PC) ; 0 sec
ARMA: Gold Edition (PC) ; 0 sec
Fallout New Vegas: Courier's Stash (PC) ; 0 sec
Greed Corp (PC) ; 0 sec
Company of Heroes: Opposing Fronts (PC) ; 0 sec
Sacred Citadel (PC) ; 0 sec
Mare Nostrum (PC) ; 0 sec
Air Conflicts: Pacific Carriers (PC) ; 0 sec
Alien Breed: Impact (PC) ; 0 sec
Carrier Command: Gaea Mission (PC) ; 0 sec
Star Wars: Dark Forces (PC) ; 0 sec
Kane & Lynch 2: Dog Days (PC) ; 0 sec
Back to the Future: The Game - Ep. 5: OUTATIME (PC) ; 0 sec
Defence Alliance 2 (PC) ; 0 sec
Alien Breed 3: Descent (PC) ; 0 sec
Natural Selection 2 (PC) ; 0 sec
Worms Armageddon (PC) ; 0 sec
SpellForce 2: Faith in Destiny (PC) ; 0 sec
Oil Rush (PC) ; 0 sec
Worms Ultimate Mayhem (PC) ; 0 sec
Thomas Was Alone (PC) ; 0 sec
ARMA II (PC) ; 0 sec
Dear Esther (PC) ; 0 sec
Ticket to Ride (PC) ; 0 sec
Fallout: New Vegas - Honest Hearts (PC) ; 0 sec
Enter the Matrix (PC) ; 0 sec
Counter Strike: Global Offensive Beta (PC) ; 0 sec
World in Conflict (PC) ; 0 sec
LMA Manager 2007 (PC) ; 0 sec
The Sims 2 (PC) ; 0 sec
Call of Duty: World at War Beta (PC) ; 0 sec
The Elder Scrolls 4: Oblivion (PC) ; 0 sec
Dungeon Siege II (PC) ; 0 sec
Orcs Must Die! 2 (PC) ; 0 sec
NightSky (PC) ; 0 sec
Worms Reloaded (PC) ; 0 sec
SimCity 4 Deluxe (PC) ; 0 sec
Poker Night at the Inventory (PC) ; 0 sec
Deus Ex Human Revolution (PC) ; 0 sec
Genital Jousting (PC) ; 0 sec
Dungeon Siege 3 (PC) ; 0 sec
Sanctum 2 (PC) ; 0 sec
Hitman: Blood Money (PC) ; 0 sec
Red Faction: Armageddon (PC) ; 0 sec
Back to the Future: The Game - Ep. 2: Get Tannen! (PC) ; 0 sec
Puzzle Agent 2 (PC) ; 0 sec
Magicka: Vietnam (PC) ; 0 sec
Demigod (PC) ; 0 sec
Enemy Territory: Quake Wars (PC) ; 0 sec
Spider Solitaire (PC) ; 0 sec
Metal Slug 3 (PC) ; 0 sec
Warframe (PC) ; 0 sec
SpeedRunners (PC) ; 0 sec
Sniper Elite: Nazi Zombie Army 2 (PC) ; 0 sec
Age Of Empires III (PC) ; 0 sec
Age of Empires III: The WarChiefs (PC) ; 0 sec
Hammerwatch (PC) ; 0 sec
Tom Clancy's The Division (PC) ; 0 sec
Aperture Tag (PC) ; 0 sec
Titanfall 2 (PC) ; 0 sec
Evolve (PC) ; 0 sec
Dust: An Elysian Tail (PC) ; 0 sec
Tom Clancy's Rainbow Six Siege (PC) ; 0 sec
Defy Gravity Extended (PC) ; 0 sec
Sleeping Dogs (PC) ; 0 sec
Star Wars: Battlefront II (PC) ; 0 sec
Codename: Gordon (PC) ; 0 sec
Resident Evil 5 (PC) ; 0 sec
FIFA Soccer 09 Demo (PC) ; 0 sec
TrackMania Sunrise (PC) ; 0 sec
The Movies (PC) ; 0 sec
Battlefield: Bad Company 2 (PC) ; 0 sec
Zoo Tycoon 2 (PC) ; 0 sec
Might & Magic X: Legacy (PC) ; 0 sec
DOTA 2 (PC) ; 0 sec
How to Survive (PC) ; 0 sec
Manhunt (PC) ; 0 sec
Total Annihilation (PC) ; 0 sec
Counter-Strike: Condition Zero (PC) ; 0 sec
Command & Conquer: Red Alert 3 Uprising (PC) ; 0 sec
Hector: Badge of Carnage - Episode 3 (PC) ; 0 sec
S.T.A.L.K.E.R.: Shadow of Chernobyl (PC) ; 0 sec
Half-Life 2: Episode Two (PC) ; 0 sec
Medal of Honor (PC) ; 0 sec
Arcania: Gothic 4 (PC) ; 0 sec
Wallace and Gromit's Grand Adventures, Episode 3: Muzzled! (PC) ; 0 sec
Painkiller: Hell & Damnation (PC) ; 0 sec
Grand Theft Auto: Vice City (PC) ; 0 sec
Thunder Wolves (PC) ; 0 sec
Burnout Paradise: The Ultimate Box (PC) ; 0 sec
Rochard (PC) ; 0 sec
R.A.W. - Realms of Ancient War (PC) ; 0 sec
Hector: Badge of Carnage - Episode 1 (PC) ; 0 sec
ArmA II: Operation Arrowhead (PC) ; 0 sec
Worms Revolution (PC) ; 0 sec
Sam & Max: The Devil's Playhouse: They Stole Max's Brain! (PC) ; 0 sec
Grand Theft Auto: San Andreas (Mac) ; 0 sec
English Country Tune (PC) ; 0 sec
Commandos 3: Destination Berlin (PC) ; 0 sec
Star Wars: Jedi Knight: Jedi Academy (PC) ; 0 sec
S.T.A.L.K.E.R. Call of Pripyat (PC) ; 0 sec
Take On Helicopters (PC) ; 0 sec
Galaxy on Fire 2 Full HD (PC) ; 0 sec
Tiny and Big: Grandpa's Leftovers (PC) ; 0 sec
Hammerfight (PC) ; 0 sec
Supreme Commander: Forged Alliance (PC) ; 0 sec
Puzzle Agent (PC) ; 0 sec
Half-Life: Opposing Force (PC) ; 0 sec
Super Hexagon (PC) ; 0 sec
VVVVVV (PC) ; 0 sec
Star Wars Jedi Knight: Mysteries of the Sith (PC) ; 0 sec
Serious Sam 2 (PC) ; 0 sec
Shank 2 (PC) ; 0 sec
Back to the Future: The Game - Ep. 1: It's About Time (PC) ; 0 sec
Darksiders 2 (PC) ; 0 sec
Grand Theft Auto (PC) ; 0 sec
Fable: The Lost Chapters (PC) ; 0 sec
Risen 2: Dark Waters (PC) ; 0 sec
Wargame: European Escalation (PC) ; 0 sec
Blood Bowl: Legendary Edition (PC) ; 0 sec
Incredipede (PC) ; 0 sec
Dinner Date (PC) ; 0 sec
Sanctum (PC) ; 0 sec
Broken Sword: The Shadow of the Templars (PC) ; 0 sec
Serious Sam: The First Encounter (PC) ; 0 sec
The Testament of Sherlock Holmes (PC) ; 0 sec
Offspring Fling (PC) ; 0 sec
Intrusion 2 (PC) ; 0 sec
Alpha Prime (PC) ; 0 sec
Grand Theft Auto 2 (PC) ; 0 sec
Half-Life: Deathmatch Source (PC) ; 0 sec
Legend of Grimrock (PC) ; 0 sec
The Binding of Isaac (PC) ; 0 sec
F.E.A.R. Perseus Mandate (PC) ; 0 sec
Jamestown: Legend of the Lost Colony (PC) ; 0 sec
Risen (PC) ; 0 sec
Back to the Future: The Game - Ep. 3: Citizen Brown (PC) ; 0 sec
Counter Strike Condition Zero: Deleted Scenes (PC) ; 0 sec
Confrontation (PC) ; 0 sec
